times, f
2.039981670380845991e+00,-5.851248192757200206e-01
2.043421774378115785e+00,-5.856443453565239876e-01
2.046861878375385135e+00,-5.861631860779469294e-01
2.050301982372654930e+00,-5.866813406410380516e-01
2.053742086369924280e+00,-5.871988082468464487e-01
2.057182190367194075e+00,-5.877155880964217705e-01
2.060622294364463425e+00,-5.882316793908133334e-01
2.064062398361733219e+00,-5.887470813310705653e-01
2.067502502359002570e+00,-5.892617931182427826e-01
2.070942606356271920e+00,-5.897758139533793020e-01
2.074382710353541714e+00,-5.902891430375295512e-01
2.077822814350811065e+00,-5.908017795717427356e-01
2.081262918348080859e+00,-5.913137227570683940e-01
2.084703022345350210e+00,-5.918249717945559540e-01
2.088143126342620004e+00,-5.923355258852546212e-01
2.091583230339889354e+00,-5.928453842302139343e-01
2.095023334337159149e+00,-5.933545460304829877e-01
2.098463438334428499e+00,-5.938630104871113202e-01
2.101903542331698294e+00,-5.943707768011485815e-01
2.105343646328967644e+00,-5.948778441736435330e-01
2.108783750326237438e+00,-5.953842118056461574e-01
2.112223854323506789e+00,-5.958898788982053274e-01
2.115663958320776139e+00,-5.963948446523706926e-01
2.119104062318045933e+00,-5.968991082691915695e-01
2.122544166315315284e+00,-5.974026689497170528e-01
2.125984270312585078e+00,-5.979055258949971252e-01
2.129424374309854429e+00,-5.984076783060805482e-01
2.132864478307124223e+00,-5.989091253840168605e-01
2.136304582304393573e+00,-5.994098663298558227e-01
2.139744686301663368e+00,-5.999099003446461964e-01
2.143184790298932718e+00,-6.004092266294378533e-01
2.146624894296202513e+00,-6.009078443852798879e-01
2.150064998293471863e+00,-6.014057528132216168e-01
2.153505102290741657e+00,-6.019029511143125788e-01
2.156945206288011008e+00,-6.023994384896019794e-01
2.160385310285280358e+00,-6.028952141401393572e-01
2.163825414282550152e+00,-6.033902772669742509e-01
2.167265518279819503e+00,-6.038846270711555331e-01
2.170705622277089297e+00,-6.043782627535166929e-01
2.174145726274358648e+00,-6.048711817863232643e-01
2.177585830271628442e+00,-6.053633757347505195e-01
2.181025934268897792e+00,-6.058548349032165659e-01
2.184466038266167587e+00,-6.063455495961401764e-01
2.187906142263436937e+00,-6.068355101179399025e-01
2.191346246260706732e+00,-6.073247067730341842e-01
2.194786350257976082e+00,-6.078131298658420167e-01
2.198226454255245876e+00,-6.083007697007819514e-01
2.201666558252515227e+00,-6.087876165822722063e-01
2.205106662249784577e+00,-6.092736608147319988e-01
2.208546766247054371e+00,-6.097588927025793248e-01
2.211986870244323722e+00,-6.102433025502335129e-01
2.215426974241593516e+00,-6.107268806621125590e-01
2.218867078238862867e+00,-6.112096173426354584e-01
2.222307182236132661e+00,-6.116915028962206513e-01
2.225747286233402011e+00,-6.121725276272869110e-01
2.229187390230671806e+00,-6.126526818402525665e-01
2.232627494227941156e+00,-6.131319558395366132e-01
2.236067598225210951e+00,-6.136103399295572691e-01
2.239507702222480301e+00,-6.140878244147335296e-01
2.242947806219750095e+00,-6.145643995994838349e-01
2.246387910217019446e+00,-6.150400557882268471e-01
2.249828014214288796e+00,-6.155147832853811174e-01
2.253268118211558591e+00,-6.159885723953654191e-01
2.256708222208827941e+00,-6.164614134225981923e-01
2.260148326206097735e+00,-6.169332966714980993e-01
2.263588430203367086e+00,-6.174042124464838022e-01
2.267028534200636880e+00,-6.178741510519741853e-01
2.270468638197906230e+00,-6.183431027923873557e-01
2.273908742195176025e+00,-6.188110579721421978e-01
2.277348846192445375e+00,-6.192780068956573736e-01
2.280788950189715170e+00,-6.197439398673514344e-01
2.284229054186984520e+00,-6.202088471916429313e-01
2.287669158184254314e+00,-6.206727191729507487e-01
2.291109262181523665e+00,-6.211355461156931046e-01
2.294549366178793015e+00,-6.215973183242889943e-01
2.297989470176062810e+00,-6.220580261031566360e-01
2.301429574173332160e+00,-6.225176597567152470e-01
2.304869678170601954e+00,-6.229762095893830454e-01
2.308309782167871305e+00,-6.234336659055784713e-01
2.311749886165141099e+00,-6.238900190097206311e-01
2.315189990162410449e+00,-6.243452592062276318e-01
2.318630094159680244e+00,-6.247993767995188019e-01
2.322070198156949594e+00,-6.252523620940118043e-01
2.325510302154219389e+00,-6.257042053941259674e-01
2.328950406151488739e+00,-6.261548970042799533e-01
2.332390510148758533e+00,-6.266044272288918693e-01
2.335830614146027884e+00,-6.270527863723805995e-01
2.339270718143297234e+00,-6.274999647391650281e-01
2.342710822140567029e+00,-6.279459526336632624e-01
2.346150926137836379e+00,-6.283907403602942976e-01
2.349591030135106173e+00,-6.288343182234767959e-01
2.353031134132375524e+00,-6.292766770902712414e-01
2.356471238129645318e+00,-6.297178225197237467e-01
2.359911342126914668e+00,-6.301577758071107427e-01
2.363351446124184463e+00,-6.305965590195082848e-01
2.366791550121453813e+00,-6.310341942239930946e-01
2.370231654118723608e+00,-6.314707034876413383e-01
2.373671758115992958e+00,-6.319061088775295154e-01
2.377111862113262752e+00,-6.323404324607337923e-01
2.380551966110532103e+00,-6.327736963043305574e-01
2.383992070107801453e+00,-6.332059224753966431e-01
2.387432174105071248e+00,-6.336371330410078828e-01
2.390872278102340598e+00,-6.340673500682406649e-01
2.394312382099610392e+00,-6.344965956241714888e-01
2.397752486096879743e+00,-6.349248917758769650e-01
2.401192590094149537e+00,-6.353522605904332599e-01
2.404632694091418887e+00,-6.357787241349165397e-01
2.408072798088688682e+00,-6.362043044764034150e-01
2.411512902085958032e+00,-6.366290236819701631e-01
2.414953006083227827e+00,-6.370529038186931725e-01
2.418393110080497177e+00,-6.374759669536489426e-01
2.421833214077766527e+00,-6.378982351539135287e-01
2.425273318075036322e+00,-6.383197304865636523e-01
2.428713422072305672e+00,-6.387404750186754798e-01
2.432153526069575467e+00,-6.391604908173252886e-01
2.435593630066844817e+00,-6.395797999495895780e-01
2.439033734064114611e+00,-6.399984244825448476e-01
2.442473838061383962e+00,-6.404163864832671527e-01
2.445913942058653756e+00,-6.408337080188333257e-01
2.449354046055923106e+00,-6.412504111563192000e-01
2.452794150053192901e+00,-6.416665179628014970e-01
2.456234254050462251e+00,-6.420820505053563831e-01
2.459674358047732046e+00,-6.424970308510603578e-01
2.463114462045001396e+00,-6.429114810669896984e-01
2.466554566042270746e+00,-6.433254232202209044e-01
2.469994670039540541e+00,-6.437388793778302531e-01
2.473434774036809891e+00,-6.441518716068941330e-01
2.476874878034079686e+00,-6.445644219744888215e-01
2.480314982031349036e+00,-6.449765525476909289e-01
2.483755086028618830e+00,-6.453882853935765107e-01
2.487195190025888181e+00,-6.457996425792221773e-01
